Degree,10th_percentile,old_10th_percentile,
Law *,3.81,3.86,Bachelor of Laws  
Medicine *,3.89,3.94,Bachelor of Medicine and Bachelor of Surgery   **
Nursing *,3.25,3.33,Bachelor of Science (Nursing)
Dentistry *,#,#,Bachelor of Dental Surgery
Architecture *,3.45,3.59,Bachelor of Arts (Architecture)
Industrial Design *,3.54,3.88,Bachelor of Arts (Industrial Design)
Project & Facilities Management,3.43,3.59,Bachelor of Science (Project and Facilities Management)
Real Estate,3.44,3.58,Bachelor of Science (Real Estate)
Biomedical Engineering,3.61,3.71,Bachelor of Engineering (Biomedical Engineering)
Chemical Engineering,3.58,3.65,Bachelor of Engineering (Chemical Engineering)
Civil Engineering,3.59,3.71,Bachelor of Engineering (Civil Engineering)
Electrical Engineering,3.65,3.68,Bachelor of Engineering (Electrical Engineering)
Environment Engineering,3.54,3.57,Bachelor of Engineering (Environmental Engineering)
Engineering Science,3.88,3.83,Bachelor of Engineering (Engineering Science) ^
Industrial & Systems Engineering,#,#,Bachelor of Engineering (Industrial and Systems Engineering)
Materials Science & Engineering,3.61,3.76,Bachelor of Engineering (Materials Science and Engineering)
Mechanical Engineering,3.58,3.65,Bachelor of Engineering (Mechanical Engineering)
Computing (Business Analytics),3.83,3.81,Bachelor of Science (Business Analytics)
Computing (Computer Science),3.86,3.86,Bachelor of Computing (Computer Science)
Computing (Information Security),3.79,3.84,Bachelor of Computing (Information Security) ^
Computing (Information Systems),3.75,3.82,Bachelor of Computing (Information Systems)
Computer Engineering,3.87,3.87,Bachelor of Engineering (Computer Engineering)
Pharmacy,3.9,#,Bachelor of Science (Pharmacy)  
Science (Chemistry),3.82,3.85,Bachelor of Science
Applied Science (Food Science & Technology),#,#,Bachelor of Science
Science (Life Sciences),3.81,3.83,Bachelor of Science
Science (Physics),#,#,Bachelor of Science
Business Admin,3.65,3.73,Bachelor of Business Administration
Business Admin (Accountancy),3.7,3.76,Bachelor of Business Administration (Accountancy) ^
Arts & Social Sciences,3.63,3.67,Bachelor of Arts
Environmental Studies,#,#,Bachelor of Environmental Studies
